title,id,area
The Accounting Review,34781,Accounting
Journal of Accounting and Economics,4204,Accounting
Journal of Accounting Research,11189,Accounting
The Journal of Finance,5188,Finance
Journal of Financial Economics,1268,Finance
Review of Financial Studies,10483,Finance
Information Systems Research,18332,Information Systems
INFORMS Journal on Computing,18333,Information Systems
MIS Quarterly,73097,Information Systems
Journal of International Business Studies,10571,International Business
Journal of Consumer Research,33285,Marketing
Journal of Marketing,32063,Marketing
Journal of Marketing Research,32064,Marketing
Marketing Science,18334,Marketing
Academy of Management Journal,32052,Management
Academy of Management Review,32054,Management
Administrative Science Quarterly,8622,Management
Management Science,18335,Management
Strategic Management Journal,12230,Management
Journal of Operations Management,1201,Operations
Manufacturing & Service Operations Management,18342,Operations
Operations Research,18337,Operations
Production and Operations Management,1886,Operations
Organization Science,18338,Organizational Behaviour